pos	set	sample	vartype	depth	supportfraction	basecalledfrequency
81		BC08_200x	snp	391	0.966218	0.8125
345		BC08_200x	snp	367	0.967647	0.746154
630		BC08_200x	snp	1175	0.928884	0.863799
1098		BC08_200x	snp	386	0.949688	0.788321
1170		BC08_200x	snp	1107	0.958538	0.672509
1611		BC08_200x	snp	412	0.943257	0.787736
1770		BC08_200x	snp	927	0.858286	0.583333
1978		BC08_200x	snp	420	0.917821	0.67619
81	.primertrimmed	BC08_200x	snp	391	0.968414	0.8125
345	.primertrimmed	BC08_200x	snp	367	0.975918	0.746154
630	.primertrimmed	BC08_200x	snp	1175	0.947406	0.863799
1098	.primertrimmed	BC08_200x	snp	386	0.958338	0.788321
1170	.primertrimmed	BC08_200x	snp	1107	0.968009	0.672509
1611	.primertrimmed	BC08_200x	snp	412	0.952377	0.787736
1770	.primertrimmed	BC08_200x	snp	927	0.86535	0.583333
1978	.primertrimmed	BC08_200x	snp	420	0.921486	0.67619
