pos	set	sample	vartype	depth	supportfraction	basecalledfrequency
85		BC12_200x	snp	404	0.952431	0.736453
121		BC12_200x	snp	401	0.965757	0.842893
127		BC12_200x	snp	400	0.960119	0.887781
201		BC12_200x	snp	388	0.931379	0.855362
204		BC12_200x	snp	398	0.976415	0.860349
285		BC12_200x	snp	399	0.854513	0.775561
333		BC12_200x	snp	390	0.976662	0.902743
348		BC12_200x	snp	392	0.980562	0.817955
393		BC12_200x	snp	392	0.875478	0.715711
498		BC12_200x	snp	395	0.928569	0.84788
558		BC12_200x	snp	1198	0.950945	0.777124
573		BC12_200x	snp	1198	0.95685	0.91169
585		BC12_200x	snp	1185	0.953774	0.744323
603		BC12_200x	snp	1187	0.931547	0.819714
606		BC12_200x	snp	1159	0.934897	0.802022
666		BC12_200x	snp	409	0.942873	0.775362
705		BC12_200x	snp	399	0.908413	0.845411
792		BC12_200x	snp	363	0.952542	0.763285
819		BC12_200x	snp	416	0.942847	0.848193
825		BC12_200x	snp	413	0.938455	0.814458
840		BC12_200x	snp	410	0.894434	0.886747
924		BC12_200x	snp	397	0.960734	0.792771
954		BC12_200x	snp	402	0.911702	0.761446
957		BC12_200x	snp	393	0.956569	0.73012
1011		BC12_200x	snp	403	0.865452	0.807229
1089		BC12_200x	snp	401	0.954429	0.744578
1119		BC12_200x	snp	988	0.947663	0.725367
1227		BC12_200x	snp	928	0.952001	0.75162
1306		BC12_200x	snp	401	0.942551	0.792453
1308		BC12_200x	snp	416	0.954754	0.834906
1353		BC12_200x	snp	418	0.96508	0.688679
1395		BC12_200x	snp	422	0.918235	0.698113
1413		BC12_200x	snp	421	0.917398	0.849057
1464		BC12_200x	snp	414	0.97785	0.856132
1590		BC12_200x	snp	409	0.911106	0.721698
1632		BC12_200x	snp	414	0.85909	0.625
1650		BC12_200x	snp	947	0.959802	0.85
1857		BC12_200x	snp	390	0.942085	0.645933
1881		BC12_200x	snp	413	0.896762	0.763158
1890		BC12_200x	snp	395	0.932556	0.863309
1908		BC12_200x	snp	414	0.941342	0.884892
1912		BC12_200x	snp	419	0.884058	0.534772
1941		BC12_200x	snp	398	0.875254	0.764988
1942		BC12_200x	snp	393	0.852517	0.760192
1963		BC12_200x	snp	414	0.924539	0.829736
2806		BC12_200x	snp	390	0.944653	0.8
2925		BC12_200x	snp	359	0.946613	0.71358
3021		BC12_200x	snp	386	0.904761	0.834184
3030		BC12_200x	snp	378	0.928519	0.864796
85	.primertrimmed	BC12_200x	snp	404	0.965279	0.736453
121	.primertrimmed	BC12_200x	snp	401	0.968237	0.842893
127	.primertrimmed	BC12_200x	snp	400	0.964023	0.887781
201	.primertrimmed	BC12_200x	snp	388	0.929559	0.855362
204	.primertrimmed	BC12_200x	snp	398	0.979948	0.860349
285	.primertrimmed	BC12_200x	snp	399	0.860802	0.775561
333	.primertrimmed	BC12_200x	snp	390	0.983592	0.902743
348	.primertrimmed	BC12_200x	snp	392	0.982363	0.817955
393	.primertrimmed	BC12_200x	snp	392	0.880605	0.715711
498	.primertrimmed	BC12_200x	snp	395	0.93576	0.84788
