pos	set	sample	vartype	depth	supportfraction	basecalledfrequency
127		BC09_200x	snp	409	0.95649	0.842615
261		BC09_200x	snp	416	0.819211	0.917676
580		BC09_200x	snp	1249	0.913307	0.873068
713		BC09_200x	snp	462	0.906127	0.740741
894		BC09_200x	snp	454	0.942596	0.804348
1308		BC09_200x	snp	422	0.852979	0.563877
1401		BC09_200x	snp	453	0.963763	0.89011
1764		BC09_200x	snp	1156	0.959838	0.832402
1978		BC09_200x	snp	411	0.914541	0.714286
2807		BC09_200x	snp	389	0.898718	0.77284
127	.primertrimmed	BC09_200x	snp	409	0.970594	0.842615
261	.primertrimmed	BC09_200x	snp	416	0.818802	0.917676
580	.primertrimmed	BC09_200x	snp	1249	0.943796	0.873068
713	.primertrimmed	BC09_200x	snp	462	0.910812	0.740741
894	.primertrimmed	BC09_200x	snp	454	0.943628	0.804348
1308	.primertrimmed	BC09_200x	snp	422	0.849532	0.563877
1401	.primertrimmed	BC09_200x	snp	453	0.973047	0.89011
1764	.primertrimmed	BC09_200x	snp	1156	0.95815	0.832402
1978	.primertrimmed	BC09_200x	snp	411	0.913268	0.714286
2807	.primertrimmed	BC09_200x	snp	389	0.90984	0.77284
